"","Player","Pick","Age","ThreePM","ThreeP_Perc","FTM","FTA","FT_Perc","TOV","PF","ORB","DRB","RPG","APG","SPG","BPG","FGMForty","FGAForty","ThreePAForty","FTMForty","FTAForty","TOVForty","PFForty","ORBForty","DRBForty","REBForty","ASTForty","STLForty","BLKForty","PTSForty","TS_Perc","eFG_Perc","Total S _Perc","ORB_Perc","DRB_Perc","TRB_Perc","AST_Perc","TOV_Perc","STL_Perc","BLK_Perc","USG_Perc","PPR","PPS","ORtg","DRtg","eDiff","FIC","PER","WS","WS/48","BPM","VORP","AVG_Raptor","AVG_WAR"
"1","Evan Fournier",20,19,1.3,0.277,3,3.9,0.754,2.2,3.1,1.1,2.1,3.2,2.2,1.5,0.1,7.5,17.8,7,4.6,6.1,3.3,4.8,1.7,3.2,4.9,3.4,2.3,0.2,21.6,0.529,0.48,145.6,5.2,10.6,7.8,17.9,14,3.3,0.5,28.5,-2.7,1.2,104.4,108.5,-4.1,201.2,17.6,10.2,0.08075,-1.6,0.9,-1.26666666666667,1.63333333333333
"2","Furkan Aldemir",53,20,0,0,2.1,3.1,0.677,0.9,2.4,2,4,6.1,0.6,0.5,0.7,5.7,9.7,0,4.3,6.4,2,5,4.2,8.4,12.6,1.2,1.1,1.5,15.7,0.624,0.582,125.9,14.2,27.6,21,5.5,13.5,1.6,4,18.3,-3,1.6,122.9,100.4,22.6,396.1,19.9,1.4,0.122,-3.6,-0.2,-2,0.2
"3","Ilkan Karaman",57,22,0.6,0.311,1.4,2.5,0.557,1.6,2.4,1.6,5.1,6.7,1,0.6,0.8,7.3,14.8,3.4,2.4,4.3,2.8,4.1,2.8,8.8,11.6,1.8,1.1,1.3,18.1,0.543,0.532,136.4,9.1,27.2,18.4,7.9,14.5,1.4,3.1,23.2,-4,1.2,105.2,104.9,0.3,375.1,17,NA,NA,NA,NA,NA,NA
"4","Izzet Turkyilmaz",50,22,0.1,0.25,0.4,0.8,0.536,0.5,1.1,0.6,1.3,1.9,0.4,0.3,0.8,3.8,8.5,2,1.9,3.5,2.3,4.7,2.7,5.9,8.6,1.6,1.5,3.5,10,0.498,0.478,123.5,9.9,18.4,14.5,6.3,18.9,2.1,8.7,15.8,-3.4,1.2,98.5,98.8,-0.3,91.8,13.2,NA,NA,NA,NA,NA,NA
"5","Kostas Papanikolaou",48,21,0.7,0.342,1.4,2.1,0.685,0.6,1.9,1.2,2.9,4.1,0.7,0.9,0.3,4.9,9.8,4,2.8,4,1.2,3.6,2.3,5.8,8.1,1.3,1.7,0.7,13.9,0.597,0.565,152.1,7.5,19.1,13.3,5.8,9.6,2.3,1.6,15.5,-0.9,1.4,123.4,97,26.4,336.4,15.8,0.4,0.0035,-3.25,-0.2,-2.75,-0.3
"6","Ognen Kuzmic",52,22,0,0,1.6,2.4,0.671,2.1,2.4,3.2,4.9,8.1,0.7,0.6,2,7,13.1,0,2.7,4,3.5,4,5.4,8.3,13.7,1.1,1.1,3.3,16.7,0.561,0.534,120.5,17.2,26.6,21.9,6.5,19,1.5,7.5,22,-7.1,1.3,105.8,98.4,7.5,362.4,21.4,0.3,0.073,-5.15,-0.2,NA,NA
"7","Tomas Satoransky",32,20,0.3,0.283,1,1.4,0.698,1.3,2.2,0.6,1.5,2.1,1.3,0.5,0.1,4.2,9.5,2.8,2.3,3.3,3.1,5.1,1.4,3.5,4.9,3,1.2,0.2,11.4,0.519,0.477,141.6,4.5,11.9,8,13.8,22,1.7,0.5,17.1,-2.9,1.2,97.9,106.9,-8.9,93.6,8.9,NA,NA,NA,NA,NA,NA
"8","Tomislav Zubcic",56,22,0.6,0.273,1.7,2.2,0.798,1.3,2.2,1.1,1.9,3,1,0.8,0.1,5.4,13.3,5.8,4.6,5.8,3.6,5.9,2.9,5,7.9,2.6,2.2,0.3,17.4,0.552,0.468,147.9,9.5,16.9,13.2,11.2,18.4,3.2,0.9,23.8,-4.7,1.3,105.6,105,0.6,199.9,15.3,NA,NA,NA,NA,NA,NA
"9","Tornike Shengelia",54,20,0.4,0.288,1.8,2.8,0.637,1.7,3,1.2,3.3,4.5,1,0.9,0.3,6.8,15.2,3.1,3.8,6,3.7,6.4,2.6,7.1,9.7,2.2,1.9,0.6,18.2,0.512,0.476,137.1,8.2,22.5,15.3,11,17.4,2.5,1.5,26.1,-5.6,1.2,96.4,100.2,-3.8,196.4,14.4,-0.2,0.000666666666666665,-5.7,-0.3,-10.5,-0.6
"10","Andre Drummond",9,18,0,0,0.8,2.6,0.295,1.5,2.2,3.4,4.2,7.6,0.4,0.8,2.7,6.5,12.1,0.1,1.1,3.6,2.1,3.1,4.7,5.9,10.6,0.6,1.2,3.8,14,0.509,0.538,83.3,13.9,15.6,14.8,3.4,13.5,1.8,9.9,20.8,-4.6,1.2,103.4,95.8,7.6,354.8,21.1,29.5,0.1585,1.225,6.9,0.666666666666667,4.6
